word,set,concreteness,conc_category
capacity,added,3.10,Moderate
capture,added,3.21,Moderate
carbon,added,4.22,Concrete
career,added,2.54,Abstract
careful,added,1.86,Very Abstract
carefully,added,2.15,Abstract
carpet,added,4.96,Very Concrete
cash,added,4.48,Concrete
cast,added,3.92,Moderate
catalog,added,4.68,Very Concrete
category,added,2.82,Abstract
celebrate,added,2.90,Abstract
celebration,added,3.47,Moderate
cell,added,4.44,Concrete
central,added,2.71,Abstract
certainly,added,1.86,Very Abstract
challenge,added,2.11,Abstract
chamber,added,4.59,Very Concrete
champion,added,3.82,Moderate
championship,added,3.23,Moderate
channel,added,4.18,Concrete
chapter,added,3.43,Moderate
characteristic,added,2.38,Abstract
characterize,added,2.00,Very Abstract
charity,added,2.62,Abstract
chart,added,4.48,Concrete
chase,added,3.48,Moderate
chat,added,3.66,Moderate
cheek,added,4.83,Very Concrete
chemical,added,3.86,Moderate
chip,added,4.71,Very Concrete
chocolate,added,4.72,Very Concrete
cigarette,added,4.88,Very Concrete
circumstance,added,1.77,Very Abstract
cite,added,3.07,Moderate
civil,added,2.07,Abstract
civilian,added,4.25,Concrete
classic,added,2.00,Very Abstract
classical,added,2.18,Abstract
clause,added,2.73,Abstract
clearly,added,2.04,Abstract
click,added,4.03,Concrete
climate,added,3.50,Moderate
clinical,added,2.52,Abstract
closely,added,2.46,Abstract
cluster,added,4.04,Concrete
coach,added,4.12,Concrete
code,added,3.00,Abstract
collapse,added,3.67,Moderate
colleague,added,3.79,Moderate
column,added,4.48,Concrete
combination,added,2.86,Abstract
comedy,added,3.10,Moderate
comfortable,added,2.33,Abstract
comment,added,3.29,Moderate
commission,added,3.04,Moderate
commit,added,2.17,Abstract
commitment,added,1.74,Very Abstract
communicate,added,3.43,Moderate
communication,added,2.90,Abstract
community,added,3.52,Moderate
compensation,added,3.25,Moderate
competitive,added,1.89,Very Abstract
completely,added,2.18,Abstract
complex,added,1.96,Very Abstract
complexity,added,1.87,Very Abstract
component,added,3.04,Moderate
compound,added,3.03,Moderate
comprehensive,added,1.82,Very Abstract
comprise,added,1.89,Very Abstract
compromise,added,1.80,Very Abstract
compute,added,2.39,Abstract
computer,added,4.93,Very Concrete
concentrate,added,2.48,Abstract
concentration,added,2.10,Abstract
concept,added,1.41,Very Abstract
concert,added,4.35,Concrete
conclude,added,1.78,Very Abstract
conclusion,added,2.11,Abstract
concrete,added,4.59,Very Concrete
conduct,added,2.08,Abstract
conference,added,3.86,Moderate
confirm,added,2.15,Abstract
conflict,added,2.21,Abstract
consequence,added,2.64,Abstract
consequently,added,1.69,Very Abstract
conservative,added,1.96,Very Abstract
considerable,added,2.14,Abstract
consideration,added,1.86,Very Abstract
consist,added,2.07,Abstract
consistent,added,2.21,Abstract
constant,added,2.04,Abstract
constantly,added,2.21,Abstract
constitute,added,2.13,Abstract
constraint,added,2.93,Abstract
construct,added,2.60,Abstract
construction,added,3.72,Moderate
consult,added,3.04,Moderate
consultant,added,3.97,Moderate
consume,added,3.41,Moderate
consumer,added,3.57,Moderate
contact,added,3.86,Moderate
contemporary,added,1.96,Very Abstract
contest,added,3.52,Moderate
context,added,2.17,Abstract
continuous,added,2.11,Abstract
contract,added,4.15,Concrete
contrast,added,2.64,Abstract
contribute,added,2.13,Abstract
contribution,added,2.41,Abstract
controversial,added,1.53,Very Abstract
convention,added,3.28,Moderate
conventional,added,1.50,Very Abstract
convert,added,2.73,Abstract
convince,added,1.85,Very Abstract
cooperation,added,2.03,Abstract
cope,added,1.78,Very Abstract
core,added,3.96,Moderate
corporate,added,2.27,Abstract
corporation,added,2.79,Abstract
correspond,added,2.27,Abstract
counsel,added,2.48,Abstract
counter,added,4.17,Concrete
county,added,4.04,Concrete
couple,added,3.93,Moderate
coverage,added,2.70,Abstract
craft,added,3.48,Moderate
crazy,added,2.37,Abstract
create,added,2.62,Abstract
creation,added,2.15,Abstract
creative,added,1.93,Very Abstract
credit,added,2.71,Abstract
crew,added,4.36,Concrete
crisis,added,2.33,Abstract
criteria,added,2.50,Abstract
critical,added,2.14,Abstract
criticism,added,2.07,Abstract
criticize,added,2.03,Abstract
crucial,added,2.08,Abstract
cultural,added,2.10,Abstract
culture,added,2.04,Abstract
currency,added,4.25,Concrete
currently,added,2.14,Abstract
cycle,added,3.64,Moderate
dad,added,4.29,Concrete
damn,added,2.00,Very Abstract
dangerous,added,2.13,Abstract
darkness,added,3.85,Moderate
data,added,3.93,Moderate
database,added,4.00,Moderate
dealer,added,3.76,Moderate
debate,added,3.18,Moderate
decade,added,3.19,Moderate
decline,added,2.76,Abstract
dedicate,added,2.69,Abstract
deeply,added,2.00,Very Abstract
deficit,added,2.21,Abstract
define,added,2.15,Abstract
definitely,added,1.74,Very Abstract
definition,added,3.07,Moderate
democracy,added,1.78,Very Abstract
democratic,added,1.74,Very Abstract
demonstrate,added,2.53,Abstract
demonstration,added,3.75,Moderate
density,added,2.52,Abstract
deny,added,2.20,Abstract
deposit,added,3.92,Moderate
depress,added,2.29,Abstract
depression,added,2.39,Abstract
derive,added,2.00,Very Abstract
design,added,3.27,Moderate
designer,added,3.78,Moderate
despite,added,1.33,Very Abstract
detect,added,2.19,Abstract
determination,added,1.70,Very Abstract
development,added,2.41,Abstract
device,added,3.97,Moderate
devote,added,2.00,Very Abstract
diet,added,3.21,Moderate
differ,added,1.59,Very Abstract
differently,added,1.87,Very Abstract
digital,added,3.63,Moderate
dimension,added,2.50,Abstract
directly,added,2.37,Abstract
dirty,added,4.23,Concrete
disaster,added,3.07,Moderate
discount,added,2.79,Abstract
disk,added,4.80,Very Concrete
disorder,added,3.10,Moderate
display,added,3.86,Moderate
dispute,added,2.90,Abstract
distinct,added,2.11,Abstract
distinction,added,2.08,Abstract
distribute,added,2.77,Abstract
diversity,added,2.28,Abstract
divorce,added,3.25,Moderate
document,added,4.41,Concrete
domestic,added,2.57,Abstract
dominate,added,2.12,Abstract
draft,added,3.15,Moderate
drama,added,2.34,Abstract
dramatic,added,2.12,Abstract
dramatically,added,1.59,Very Abstract
driver,added,4.71,Very Concrete
drug,added,4.48,Concrete
easily,added,1.80,Very Abstract
economic,added,2.20,Abstract
economy,added,2.57,Abstract
edit,added,3.28,Moderate
edition,added,3.21,Moderate
editor,added,4.25,Concrete
educational,added,2.10,Abstract
effectively,added,2.04,Abstract
elderly,added,3.68,Moderate
electricity,added,3.90,Moderate
electronic,added,3.30,Moderate
element,added,3.63,Moderate
eliminate,added,2.77,Abstract
email,added,4.69,Very Concrete
embarrass,added,2.14,Abstract
embrace,added,3.38,Moderate
emerge,added,2.27,Abstract
emergency,added,2.41,Abstract
emotion,added,2.44,Abstract
emotional,added,2.00,Very Abstract
emphasis,added,2.12,Abstract
emphasize,added,2.00,Very Abstract
employer,added,3.81,Moderate
employment,added,3.30,Moderate
enable,added,2.03,Abstract
encounter,added,2.93,Abstract
energy,added,3.11,Moderate
engage,added,2.07,Abstract
enhance,added,2.21,Abstract
enormous,added,2.90,Abstract
ensure,added,1.68,Very Abstract
enterprise,added,2.04,Abstract
entertainment,added,2.92,Abstract
entirely,added,1.81,Very Abstract
entitle,added,2.25,Abstract
entry,added,3.62,Moderate
environment,added,3.74,Moderate
environmental,added,2.63,Abstract
episode,added,3.22,Moderate
equally,added,1.59,Very Abstract
equation,added,3.65,Moderate
equipment,added,4.83,Very Concrete
equivalent,added,2.57,Abstract
era,added,2.24,Abstract
error,added,2.68,Abstract
essay,added,3.97,Moderate
establish,added,2.00,Very Abstract
establishment,added,3.48,Moderate
estate,added,4.11,Concrete
estimate,added,2.65,Abstract
ethnic,added,2.47,Abstract
evaluate,added,1.85,Very Abstract
evaluation,added,3.00,Abstract
eventually,added,1.75,Very Abstract
evidence,added,3.65,Moderate
evolution,added,2.61,Abstract
evolve,added,1.96,Very Abstract
exactly,added,2.11,Abstract
exam,added,4.48,Concrete
examination,added,3.93,Moderate
exceed,added,1.76,Very Abstract
excitement,added,2.48,Abstract
exclude,added,2.62,Abstract
executive,added,4.00,Moderate
exhaust,added,2.96,Abstract
exhibit,added,3.50,Moderate
exhibition,added,3.52,Moderate
expand,added,3.36,Moderate
expansion,added,3.00,Abstract
expectation,added,1.62,Very Abstract
expenditure,added,2.76,Abstract
experimental,added,2.15,Abstract
expert,added,2.85,Abstract
explanation,added,1.87,Very Abstract
export,added,2.76,Abstract
expose,added,3.46,Moderate
exposure,added,2.39,Abstract
external,added,2.82,Abstract
extract,added,3.56,Moderate
extremely,added,1.84,Very Abstract
facility,added,3.58,Moderate
factor,added,2.79,Abstract
fairly,added,2.07,Abstract
faithfully,added,1.77,Very Abstract
famous,added,2.07,Abstract
fantastic,added,1.78,Very Abstract
farmer,added,4.54,Very Concrete
fascinate,added,1.75,Very Abstract
feature,added,2.96,Abstract
federal,added,2.41,Abstract
festival,added,4.33,Concrete
fiction,added,2.14,Abstract
file,added,4.41,Concrete
filter,added,4.59,Very Concrete
final,added,2.67,Abstract
finally,added,1.67,Very Abstract
finance,added,3.36,Moderate
financial,added,2.52,Abstract
firmly,added,2.33,Abstract
firstly,added,1.85,Very Abstract
flexible,added,2.64,Abstract
flight,added,3.90,Moderate
focus,added,2.35,Abstract
folk,added,3.57,Moderate
football,added,4.73,Very Concrete
forecast,added,2.78,Abstract
forever,added,1.34,Very Abstract
format,added,2.90,Abstract
formation,added,3.23,Moderate
formula,added,4.11,Concrete
foundation,added,3.74,Moderate
fragment,added,4.10,Concrete
frequently,added,1.88,Very Abstract
fuel,added,4.30,Concrete
fulfill,added,1.78,Very Abstract
fully,added,1.89,Very Abstract
function,added,1.92,Very Abstract
functional,added,2.55,Abstract
fund,added,3.18,Moderate
fundamental,added,1.57,Very Abstract
furthermore,added,1.60,Very Abstract
gallery,added,4.44,Concrete
gaze,added,3.43,Moderate
gear,added,4.28,Concrete
gender,added,3.33,Moderate
gene,added,3.59,Moderate
generally,added,1.65,Very Abstract
generate,added,2.23,Abstract
generation,added,1.96,Very Abstract
genetic,added,2.73,Abstract
gently,added,2.03,Abstract
genuine,added,2.03,Abstract
gesture,added,3.00,Abstract
giant,added,4.30,Concrete
glance,added,3.48,Moderate
global,added,2.93,Abstract
goal,added,3.06,Moderate
golf,added,4.52,Very Concrete
government,added,2.88,Abstract
grab,added,3.52,Moderate
grade,added,3.00,Abstract
gradually,added,2.87,Abstract
graduate,added,3.07,Moderate
grandmother,added,4.65,Very Concrete
grant,added,3.53,Moderate
greatly,added,1.89,Very Abstract
grin,added,4.17,Concrete
guarantee,added,1.96,Very Abstract
guideline,added,3.93,Moderate
guilty,added,2.36,Abstract
guitar,added,4.90,Very Concrete
guy,added,4.68,Very Concrete
happiness,added,2.60,Abstract
healthy,added,3.31,Moderate
heavily,added,3.15,Moderate
hell,added,2.41,Abstract
helpful,added,1.76,Very Abstract
hence,added,1.41,Very Abstract
hero,added,3.07,Moderate
herself,added,3.00,Abstract
hi,added,2.67,Abstract
highlight,added,3.11,Moderate
highly,added,2.19,Abstract
himself,added,3.50,Moderate
hint,added,2.33,Abstract
historian,added,3.90,Moderate
historic,added,1.93,Very Abstract
historical,added,1.93,Very Abstract
holder,added,3.74,Moderate
hopefully,added,2.00,Very Abstract
horrible,added,2.20,Abstract
household,added,3.86,Moderate
huge,added,3.54,Moderate
humor,added,2.26,Abstract
hypothesis,added,2.12,Abstract
identify,added,2.64,Abstract
identity,added,2.00,Very Abstract
ignore,added,2.22,Abstract
illegal,added,2.37,Abstract
illness,added,3.54,Moderate
illustrate,added,3.31,Moderate
illustration,added,4.36,Concrete
image,added,3.85,Moderate
imagination,added,1.69,Very Abstract
immediately,added,2.30,Abstract
immigrant,added,3.72,Moderate
immigration,added,3.03,Moderate
implement,added,2.33,Abstract
implementation,added,1.84,Very Abstract
implication,added,1.61,Very Abstract
imply,added,1.86,Very Abstract
import,added,2.52,Abstract
impose,added,1.93,Very Abstract
impress,added,2.07,Abstract
impression,added,2.23,Abstract
impressive,added,2.07,Abstract
improvement,added,2.60,Abstract
incentive,added,2.26,Abstract
incident,added,2.86,Abstract
income,added,3.07,Moderate
incorporate,added,2.15,Abstract
increasingly,added,2.00,Very Abstract
independence,added,1.87,Very Abstract
independent,added,2.04,Abstract
index,added,3.43,Moderate
indicate,added,2.39,Abstract
indication,added,1.97,Very Abstract
individual,added,3.52,Moderate
industrial,added,3.00,Abstract
infant,added,4.93,Very Concrete
infection,added,4.10,Concrete
inflation,added,2.54,Abstract
information,added,2.87,Abstract
initial,added,3.03,Moderate
initially,added,1.62,Very Abstract
initiative,added,2.03,Abstract
injure,added,3.48,Moderate
injury,added,4.00,Moderate
inner,added,2.86,Abstract
innocent,added,1.54,Very Abstract
innovation,added,1.97,Very Abstract
input,added,2.50,Abstract
insight,added,1.72,Very Abstract
insist,added,2.14,Abstract
inspire,added,1.74,Very Abstract
install,added,3.19,Moderate
instance,added,1.97,Very Abstract
institution,added,3.33,Moderate
institutional,added,2.34,Abstract
instruction,added,3.37,Moderate
integrate,added,2.08,Abstract
intellectual,added,1.81,Very Abstract
intelligence,added,2.24,Abstract
intense,added,2.41,Abstract
interaction,added,2.74,Abstract
interior,added,3.59,Moderate
internal,added,2.41,Abstract
interpret,added,2.34,Abstract
interpretation,added,1.40,Very Abstract
intervention,added,2.85,Abstract
interview,added,3.36,Moderate
invest,added,2.47,Abstract
investigate,added,2.27,Abstract
investigation,added,2.52,Abstract
investment,added,3.59,Moderate
investor,added,4.30,Concrete
invitation,added,3.65,Moderate
involve,added,2.43,Abstract
involvement,added,1.46,Very Abstract
isolate,added,2.67,Abstract
issue,added,2.37,Abstract
item,added,4.41,Concrete
itself,added,2.07,Abstract
jacket,added,4.86,Very Concrete
jail,added,4.83,Very Concrete
job,added,3.19,Moderate
journal,added,4.63,Very Concrete
journalist,added,4.04,Concrete
judgment,added,1.68,Very Abstract
jury,added,4.64,Very Concrete
justify,added,1.45,Very Abstract
keen,added,1.61,Very Abstract
kid,added,4.56,Very Concrete
label,added,4.46,Concrete
labor,added,3.08,Moderate
laboratory,added,4.46,Concrete
landscape,added,4.34,Concrete
largely,added,2.32,Abstract
launch,added,3.70,Moderate
layer,added,3.52,Moderate
leader,added,3.89,Moderate
league,added,3.46,Moderate
leap,added,3.86,Moderate
lecture,added,3.79,Moderate
legal,added,1.79,Very Abstract
legislation,added,3.14,Moderate
liability,added,1.96,Very Abstract
liberal,added,1.67,Very Abstract
license,added,4.00,Moderate
limitation,added,2.18,Abstract
link,added,3.43,Moderate
listener,added,3.46,Moderate
literally,added,2.48,Abstract
locate,added,2.97,Abstract
location,added,3.00,Abstract
logic,added,1.72,Very Abstract
lover,added,3.68,Moderate
lucky,added,1.76,Very Abstract
luxury,added,2.59,Abstract
magazine,added,5.00,Very Concrete
magic,added,2.90,Abstract
mainly,added,2.00,Very Abstract
maintain,added,2.32,Abstract
maintenance,added,3.07,Moderate
major,added,2.16,Abstract
majority,added,2.54,Abstract
maker,added,3.90,Moderate
management,added,2.72,Abstract
manager,added,4.14,Concrete
manufacturer,added,3.69,Moderate
margin,added,3.46,Moderate
massive,added,3.21,Moderate
mate,added,4.34,Concrete
mathematics,added,2.52,Abstract
mature,added,1.86,Very Abstract
maximum,added,2.54,Abstract
mayor,added,4.37,Concrete
measurement,added,3.26,Moderate
medium,added,3.00,Abstract
mental,added,2.04,Abstract
menu,added,4.67,Very Concrete
merely,added,1.42,Very Abstract
mess,added,3.90,Moderate
meter,added,4.70,Very Concrete
method,added,2.41,Abstract
military,added,4.00,Moderate
minimum,added,2.25,Abstract
minor,added,2.61,Abstract
minority,added,2.65,Abstract
mirror,added,4.97,Very Concrete
mission,added,2.90,Abstract
mobile,added,2.93,Abstract
mode,added,2.46,Abstract
modify,added,2.55,Abstract
module,added,3.93,Moderate
mom,added,4.40,Concrete
monitor,added,3.65,Moderate
monthly,added,3.57,Moderate
mood,added,1.75,Very Abstract
mortgage,added,3.14,Moderate
mostly,added,2.03,Abstract
motivate,added,2.07,Abstract
motivation,added,2.10,Abstract
mount,added,4.00,Moderate
movement,added,3.63,Moderate
movie,added,4.59,Very Concrete
multiple,added,3.26,Moderate
muscle,added,4.50,Concrete
museum,added,4.60,Very Concrete
musical,added,3.72,Moderate
mutual,added,2.21,Abstract
myself,added,2.97,Abstract
narrative,added,3.18,Moderate
national,added,2.24,Abstract
natural,added,1.85,Very Abstract
naturally,added,1.48,Very Abstract
nearby,added,2.86,Abstract
nearly,added,1.89,Very Abstract
necessarily,added,1.36,Very Abstract
negative,added,1.79,Very Abstract
negotiate,added,2.00,Very Abstract
negotiation,added,2.37,Abstract
nerve,added,3.89,Moderate
nervous,added,1.85,Very Abstract
nevertheless,added,1.48,Very Abstract
newly,added,2.40,Abstract
normal,added,1.40,Very Abstract
normally,added,1.83,Very Abstract
notion,added,1.93,Very Abstract
novel,added,4.21,Concrete
nuclear,added,2.97,Abstract
objective,added,2.00,Very Abstract
obligation,added,2.04,Abstract
observation,added,2.12,Abstract
obvious,added,2.07,Abstract
obviously,added,1.82,Very Abstract
occasionally,added,2.07,Abstract
occupy,added,3.32,Moderate
occur,added,1.84,Very Abstract
odd,added,1.70,Very Abstract
okay,added,1.89,Very Abstract
online,added,3.35,Moderate
opera,added,4.28,Concrete
opponent,added,3.52,Moderate
option,added,2.39,Abstract
organic,added,2.68,Abstract
organization,added,3.00,Abstract
original,added,2.07,Abstract
originally,added,1.66,Very Abstract
ourselves,added,2.41,Abstract
outcome,added,2.27,Abstract
output,added,2.48,Abstract
overall,added,1.76,Very Abstract
overseas,added,3.31,Moderate
owner,added,3.78,Moderate
pace,added,3.11,Moderate
panel,added,4.26,Concrete
panic,added,3.04,Moderate
paragraph,added,3.96,Moderate
parallel,added,3.16,Moderate
participant,added,3.38,Moderate
participate,added,2.59,Abstract
participation,added,2.86,Abstract
particularly,added,1.64,Very Abstract
partly,added,2.30,Abstract
partnership,added,2.82,Abstract
passion,added,2.30,Abstract
payment,added,3.91,Moderate
peak,added,4.20,Concrete
peer,added,3.83,Moderate
penalty,added,2.86,Abstract
pension,added,3.89,Moderate
perceive,added,1.72,Very Abstract
percent,added,2.70,Abstract
percentage,added,2.90,Abstract
perception,added,2.00,Very Abstract
perfectly,added,1.52,Very Abstract
period,added,3.31,Moderate
personal,added,2.21,Abstract
personality,added,2.08,Abstract
personally,added,2.07,Abstract
personnel,added,3.56,Moderate
perspective,added,2.38,Abstract
phase,added,2.46,Abstract
phenomenon,added,2.26,Abstract
philosophy,added,2.14,Abstract
phone,added,4.86,Very Concrete
photo,added,4.93,Very Concrete
phrase,added,2.86,Abstract
physical,added,3.31,Moderate
piano,added,4.90,Very Concrete
pilot,added,4.67,Very Concrete
pitch,added,4.00,Moderate
plane,added,4.92,Very Concrete
planet,added,4.58,Very Concrete
plastic,added,4.79,Very Concrete
platform,added,4.48,Concrete
player,added,4.15,Concrete
plot,added,3.14,Moderate
plus,added,3.00,Abstract
poetry,added,3.50,Moderate
policy,added,2.76,Abstract
poll,added,3.31,Moderate
pollution,added,3.75,Moderate
pop,added,4.22,Concrete
port,added,4.41,Concrete
portion,added,3.78,Moderate
portrait,added,4.90,Very Concrete
pose,added,3.33,Moderate
positive,added,2.44,Abstract
possibility,added,1.33,Very Abstract
possibly,added,1.74,Very Abstract
potato,added,4.85,Very Concrete
potential,added,1.91,Very Abstract
potentially,added,1.63,Very Abstract
powerful,added,2.17,Abstract
precise,added,2.39,Abstract
precisely,added,2.30,Abstract
predict,added,2.00,Very Abstract
pregnancy,added,4.31,Concrete
pregnant,added,4.59,Very Concrete
premise,added,2.24,Abstract
preparation,added,2.18,Abstract
presentation,added,3.11,Moderate
presidential,added,2.31,Abstract
presumably,added,2.04,Abstract
previous,added,2.52,Abstract
previously,added,1.64,Very Abstract
primarily,added,1.86,Very Abstract
primary,added,2.28,Abstract
prime,added,2.48,Abstract
principal,added,3.46,Moderate
principle,added,1.70,Very Abstract
printer,added,4.67,Very Concrete
prior,added,2.45,Abstract
priority,added,1.76,Very Abstract
prisoner,added,4.11,Concrete
privilege,added,1.93,Very Abstract
pro,added,2.66,Abstract
probability,added,1.65,Very Abstract
probably,added,1.73,Very Abstract
procedure,added,2.67,Abstract
proceed,added,2.55,Abstract
process,added,2.93,Abstract
producer,added,3.00,Abstract
professional,added,2.14,Abstract
professor,added,4.86,Very Concrete
profile,added,3.10,Moderate
project,added,3.62,Moderate
promote,added,2.26,Abstract
promotion,added,3.21,Moderate
properly,added,1.93,Very Abstract
proportion,added,2.57,Abstract
prospect,added,2.40,Abstract
protein,added,3.66,Moderate
protest,added,3.21,Moderate
province,added,3.10,Moderate
provision,added,2.65,Abstract
psychological,added,2.22,Abstract
pub,added,4.71,Very Concrete
publication,added,4.41,Concrete
publisher,added,4.24,Concrete
purchase,added,2.96,Abstract
pursue,added,2.83,Abstract
quickly,added,2.36,Abstract
quietly,added,3.00,Abstract
quote,added,3.32,Moderate
racial,added,2.32,Abstract
radical,added,2.10,Abstract
random,added,2.00,Very Abstract
range,added,3.22,Moderate
rapidly,added,2.50,Abstract
rarely,added,1.64,Very Abstract
rat,added,4.85,Very Concrete
ratio,added,2.55,Abstract
react,added,2.55,Abstract
reaction,added,2.41,Abstract
reader,added,3.89,Moderate
reality,added,1.72,Very Abstract
really,added,1.44,Very Abstract
rear,added,3.59,Moderate
reasonably,added,2.04,Abstract
recall,added,2.14,Abstract
recently,added,1.89,Very Abstract
reckon,added,1.74,Very Abstract
recommendation,added,2.87,Abstract
recover,added,2.64,Abstract
recovery,added,2.68,Abstract
recruit,added,3.48,Moderate
reform,added,2.00,Very Abstract
refugee,added,3.97,Moderate
regardless,added,1.52,Very Abstract
region,added,3.19,Moderate
regional,added,2.76,Abstract
register,added,3.87,Moderate
registration,added,3.68,Moderate
regularly,added,1.80,Very Abstract
regulate,added,2.03,Abstract
regulation,added,2.00,Very Abstract
reject,added,2.40,Abstract
relationship,added,2.80,Abstract
relatively,added,1.45,Very Abstract
relax,added,2.86,Abstract
release,added,3.24,Moderate
relevant,added,1.72,Very Abstract
reliable,added,1.86,Very Abstract
religious,added,2.50,Abstract
rely,added,1.93,Very Abstract
remarkable,added,1.89,Very Abstract
remote,added,3.44,Moderate
remove,added,3.14,Moderate
reporter,added,4.63,Very Concrete
representation,added,2.19,Abstract
require,added,2.07,Abstract
requirement,added,2.52,Abstract
research,added,3.03,Moderate
researcher,added,3.81,Moderate
resident,added,4.03,Concrete
resolution,added,2.37,Abstract
resolve,added,1.96,Very Abstract
resort,added,4.30,Concrete
resource,added,2.55,Abstract
respectively,added,1.64,Very Abstract
respond,added,2.64,Abstract
response,added,3.00,Abstract
responsibility,added,1.40,Very Abstract
restore,added,2.79,Abstract
restrict,added,2.21,Abstract
restriction,added,2.25,Abstract
retail,added,2.92,Abstract
retain,added,2.32,Abstract
retirement,added,3.03,Moderate
reveal,added,2.79,Abstract
revenue,added,3.11,Moderate
reverse,added,3.38,Moderate
revise,added,2.33,Abstract
revolution,added,2.87,Abstract
role,added,2.19,Abstract
romantic,added,1.93,Very Abstract
rose,added,4.90,Very Concrete
roughly,added,2.57,Abstract
route,added,3.88,Moderate
routine,added,2.70,Abstract
rural,added,2.67,Abstract
sanction,added,2.30,Abstract
scan,added,3.48,Moderate
scare,added,2.96,Abstract
schedule,added,3.48,Moderate
scheme,added,2.41,Abstract
scholar,added,3.50,Moderate
scope,added,3.74,Moderate
score,added,3.38,Moderate
scream,added,4.32,Concrete
seal,added,4.63,Very Concrete
secondary,added,2.37,Abstract
secondly,added,2.13,Abstract
section,added,3.24,Moderate
sector,added,3.41,Moderate
secure,added,2.69,Abstract
security,added,2.82,Abstract
seek,added,2.68,Abstract
segment,added,3.40,Moderate
select,added,2.48,Abstract
selection,added,2.34,Abstract
senior,added,2.97,Abstract
sequence,added,3.10,Moderate
series,added,2.92,Abstract
seriously,added,2.00,Very Abstract
server,added,4.55,Very Concrete
session,added,2.58,Abstract
settlement,added,3.07,Moderate
sex,added,4.10,Concrete
sexual,added,2.50,Abstract
shareholder,added,3.72,Moderate
shift,added,2.81,Abstract
shot,added,4.44,Concrete
sigh,added,3.89,Moderate
significance,added,1.68,Very Abstract
significant,added,1.67,Very Abstract
significantly,added,1.89,Very Abstract
silly,added,2.20,Abstract
similar,added,2.46,Abstract
similarly,added,2.83,Abstract
simply,added,1.83,Very Abstract
singer,added,4.62,Very Concrete
site,added,4.56,Very Concrete
situate,added,1.96,Very Abstract
ski,added,4.63,Very Concrete
slice,added,3.85,Moderate
slightly,added,1.79,Very Abstract
slowly,added,3.10,Moderate
smart,added,1.75,Very Abstract
snap,added,4.10,Concrete
software,added,4.08,Concrete
solar,added,4.00,Moderate
somewhat,added,1.28,Very Abstract
source,added,2.96,Abstract
southern,added,2.62,Abstract
speaker,added,4.69,Very Concrete
specialist,added,3.00,Abstract
specialize,added,1.70,Very Abstract
specific,added,2.18,Abstract
specifically,added,1.62,Very Abstract
specify,added,2.30,Abstract
sponsor,added,3.28,Moderate
stability,added,2.41,Abstract
stable,added,3.77,Moderate
stake,added,4.21,Concrete
stare,added,4.10,Concrete
statement,added,2.96,Abstract
statistic,added,2.88,Abstract
status,added,2.24,Abstract
steal,added,3.84,Moderate
stimulate,added,3.22,Moderate
storage,added,3.47,Moderate
strain,added,3.00,Abstract
strategy,added,1.93,Very Abstract
stress,added,2.62,Abstract
strongly,added,2.39,Abstract
structural,added,2.69,Abstract
structure,added,4.03,Concrete
studio,added,4.55,Very Concrete
style,added,2.67,Abstract
submit,added,2.68,Abstract
subsequent,added,2.14,Abstract
subsequently,added,1.46,Very Abstract
substantial,added,2.03,Abstract
substitute,added,2.82,Abstract
successful,added,2.07,Abstract
successfully,added,1.96,Very Abstract
suddenly,added,1.84,Very Abstract
sufficient,added,1.90,Very Abstract
suitable,added,1.93,Very Abstract
sum,added,2.89,Abstract
summarize,added,2.32,Abstract
summary,added,3.03,Moderate
supplement,added,3.07,Moderate
supplier,added,3.41,Moderate
supporter,added,3.26,Moderate
surely,added,1.71,Very Abstract
surgery,added,4.34,Concrete
surprisingly,added,1.92,Very Abstract
survey,added,4.08,Concrete
survival,added,2.34,Abstract
survive,added,2.55,Abstract
suspend,added,2.74,Abstract
sustain,added,2.17,Abstract
switch,added,4.07,Concrete
symbol,added,3.11,Moderate
symptom,added,3.19,Moderate
tackle,added,4.28,Concrete
tale,added,3.23,Moderate
talent,added,2.19,Abstract
tank,added,4.80,Very Concrete
tape,added,4.90,Very Concrete
target,added,4.11,Concrete
task,added,2.84,Abstract
teacher,added,4.52,Very Concrete
team,added,3.79,Moderate
technical,added,1.97,Very Abstract
technique,added,2.40,Abstract
technology,added,3.24,Moderate
teenager,added,4.34,Concrete
television,added,4.83,Very Concrete
temporary,added,2.27,Abstract
tendency,added,1.83,Very Abstract
tennis,added,4.43,Concrete
tension,added,2.60,Abstract
territory,added,3.41,Moderate
terrorist,added,3.64,Moderate
text,added,4.93,Very Concrete
theme,added,2.72,Abstract
themselves,added,2.93,Abstract
theoretical,added,1.37,Very Abstract
theory,added,1.47,Very Abstract
therapy,added,2.85,Abstract
throughout,added,2.27,Abstract
tiny,added,3.11,Moderate
tissue,added,4.93,Very Concrete
tone,added,3.07,Moderate
topic,added,2.59,Abstract
totally,added,1.78,Very Abstract
tourism,added,3.00,Abstract
tourist,added,4.59,Very Concrete
tournament,added,4.11,Concrete
trace,added,3.66,Moderate
tradition,added,1.69,Very Abstract
traditional,added,1.76,Very Abstract
traffic,added,4.67,Very Concrete
trail,added,4.46,Concrete
transfer,added,3.04,Moderate
transform,added,2.41,Abstract
transition,added,2.19,Abstract
transport,added,3.50,Moderate
transportation,added,3.89,Moderate
treatment,added,2.93,Abstract
trend,added,2.42,Abstract
trigger,added,4.31,Concrete
troop,added,4.34,Concrete
