word,set,pos
test,remained,noun
text,added,noun
than,remained,other
thank,remained,noun
that,remained,other
the,remained,other
theater,remained,noun
theatrical,removed,adjective
theme,added,noun
themselves,added,other
then,remained,adverb
theoretical,added,adjective
theory,added,noun
therapy,added,noun
there,remained,adverb
therefore,remained,adverb
these,removed,other
they,remained,other
thick,remained,noun
thicken,removed,noun
thief,removed,noun
thin,remained,noun
thing,remained,noun
think,remained,noun
thirst,remained,noun
this,remained,other
thorn,removed,noun
thorough,removed,adjective
those,removed,other
though,remained,other
thread,removed,noun
threat,remained,noun
threaten,remained,noun
throat,remained,noun
through,remained,other
throughout,added,other
throw,remained,noun
thumb,removed,noun
thunder,removed,noun
thus,remained,adverb
ticket,remained,noun
tide,removed,noun
tidy,removed,noun
tie,remained,noun
tight,remained,noun
tighten,removed,noun
till,remained,noun
time,remained,noun
tin,removed,noun
tiny,added,adjective
tip,remained,noun
tire,remained,noun
tissue,added,noun
title,remained,noun
to,remained,other
tobacco,removed,noun
today,remained,noun
toe,removed,noun
together,remained,adverb
tomorrow,remained,noun
ton,removed,noun
tone,added,noun
tongue,remained,noun
tonight,remained,noun
too,remained,adverb
tool,remained,noun
tooth,remained,noun
top,remained,noun
topic,added,noun
total,remained,adjective
totally,added,adverb
touch,remained,noun
tough,remained,adjective
tour,remained,noun
tourism,added,noun
tourist,added,noun
tournament,added,noun
toward,remained,other
towel,removed,noun
tower,remained,noun
town,remained,noun
toy,remained,noun
trace,added,noun
track,remained,noun
trade,remained,noun
tradition,added,noun
traditional,added,adjective
traffic,added,noun
trail,added,noun
train,remained,noun
transfer,added,noun
transform,added,noun
transition,added,noun
translate,remained,noun
translation,removed,noun
translator,removed,noun
transport,added,noun
transportation,added,noun
trap,remained,noun
travel,remained,noun
tray,removed,noun
treasure,removed,noun
treasury,removed,noun
treat,remained,noun
treatment,added,noun
tree,remained,noun
tremble,removed,noun
trend,added,noun
trial,remained,noun
tribe,removed,noun
trick,remained,noun
trigger,added,noun
trip,remained,noun
troop,added,noun
trouble,remained,noun
truck,added,noun
true,remained,adjective
truly,added,adverb
trunk,removed,noun
trust,remained,noun
truth,remained,noun
try,remained,noun
tube,remained,noun
tune,remained,noun
turn,remained,noun
twice,added,adverb
twin,added,noun
twist,remained,noun
type,remained,noun
typical,added,adjective
typically,added,adverb
ugly,remained,adjective
ultimately,added,adverb
umbrella,removed,noun
unable,added,adjective
uncertainty,added,noun
uncle,remained,noun
unclear,added,adjective
under,remained,other
undergo,added,noun
underlie,added,noun
underneath,removed,adverb
understand,remained,noun
undertake,added,noun
unemployment,added,noun
unfortunately,added,adverb
uniform,added,noun
union,remained,noun
unique,added,adjective
unit,remained,noun
unite,remained,verb
unity,removed,noun
universal,remained,noun
universe,remained,noun
university,remained,noun
unknown,added,adjective
unless,remained,other
unlike,added,other
unlikely,added,adjective
until,remained,other
unusual,added,adjective
up,remained,adverb
update,added,noun
upon,remained,other
upper,remained,adjective
uppermost,removed,noun
upright,removed,adjective
upset,remained,noun
urban,added,adjective
urge,remained,noun
urgent,removed,adjective
use,remained,noun
useful,added,adjective
user,added,noun
usual,remained,adjective
usually,added,adverb
vain,removed,adjective
valley,remained,noun
valuable,remained,adjective
value,remained,noun
van,added,noun
variable,added,adjective
variation,added,noun
variety,remained,noun
various,remained,adjective
vary,added,noun
vast,added,adjective
vegetable,added,noun
vehicle,added,noun
veil,removed,noun
venture,added,noun
verb,remained,noun
verse,removed,noun
version,added,noun
versus,added,noun
very,remained,adverb
vessel,remained,noun
veteran,added,noun
via,added,other
vice,added,noun
victim,added,noun
victory,remained,noun
video,added,noun
view,remained,noun
village,remained,noun
violence,remained,noun
violent,remained,adjective
virtually,added,adverb
virtue,removed,noun
virus,added,noun
visible,added,adjective
vision,added,noun
visit,remained,noun
visitor,remained,noun
visual,added,adjective
vital,added,adjective
voice,remained,noun
volume,added,noun
voluntary,added,adjective
volunteer,added,noun
vote,remained,noun
voter,added,noun
vowel,removed,noun
voyage,removed,noun
wage,remained,noun
waist,removed,noun
wait,remained,noun
waiter,removed,noun
wake,remained,noun
walk,remained,noun
wall,remained,noun
wander,remained,noun
want,remained,noun
war,remained,noun
warm,remained,noun
warmth,removed,noun
warn,remained,noun
wash,remained,noun
waste,remained,noun
watch,remained,noun
water,remained,noun
wave,remained,noun
wax,removed,noun
way,remained,noun
we,remained,other
weak,remained,adjective
weaken,removed,noun
weakness,added,noun
wealth,remained,noun
wealthy,added,adjective
weapon,remained,noun
wear,remained,noun
weather,remained,noun
weave,removed,noun
web,added,noun
website,added,noun
wed,added,noun
weed,removed,noun
week,remained,noun
weekday,removed,noun
weekend,remained,noun
weekly,added,adjective
weigh,remained,noun
weight,remained,noun
weird,added,noun
welcome,remained,noun
welfare,added,noun
well,remained,adverb
west,remained,noun
western,remained,adjective
wet,remained,noun
what,remained,other
whatever,remained,other
wheat,removed,noun
wheel,remained,noun
when,remained,other
whenever,remained,noun
where,remained,other
whereas,added,noun
wherever,remained,adverb
whether,remained,other
which,remained,other
whichever,removed,noun
while,remained,other
whilst,added,noun
whip,removed,noun
whisper,remained,noun
whistle,removed,noun
white,remained,adjective
whiten,removed,noun
who,remained,other
whoever,removed,noun
whole,remained,adjective
whom,removed,other
whose,removed,other
why,remained,other
wicked,removed,verb
wide,remained,adjective
widely,added,adverb
widen,removed,noun
widow,removed,noun
widower,removed,noun
width,removed,noun
wife,remained,noun
wild,remained,noun
will,remained,other
win,remained,noun
wind,remained,noun
window,remained,noun
wine,remained,noun
wing,remained,verb
winner,added,noun
winter,remained,noun
wipe,remained,noun
wire,remained,noun
wisdom,removed,noun
wise,remained,noun
wish,remained,noun
with,remained,other
withdraw,added,noun
within,remained,other
without,remained,other
witness,remained,noun
woman,remained,noun
wonder,remained,noun
wonderful,added,adjective
wood,remained,noun
wooden,remained,adjective
wool,removed,noun
woolen,removed,noun
word,remained,noun
work,remained,noun
worker,added,noun
world,remained,noun
worm,removed,noun
worry,remained,noun
worse,removed,adjective
worship,removed,noun
worth,remained,noun
would,remained,other
wound,remained,noun
wrap,remained,noun
wreck,removed,noun
wrist,removed,noun
write,remained,noun
writer,added,noun
wrong,remained,adjective
yard,remained,noun
yeah,added,other
year,remained,noun
yellow,remained,noun
yes,remained,noun
yesterday,remained,noun
yet,remained,adverb
yield,remained,noun
you,remained,other
young,remained,adjective
yourself,added,other
youth,remained,noun
zero,removed,noun
zone,added,noun
